"community_ID";"community_long_ID";"community_name";"electoral_district";"population";"eligible_voters_2011";"voters_2011";"turnout_2011";"green_percent_2011";"proportion_male";"proportion_female";"proportion_german";"proportion_under18";"proportion_18to64";"proportion_over65"
8118076;"08118076 Sachsenheim, Stadt";"Sachsenheim, Stadt";"Vaihingen";"17178";12337;8622;0,698873307935479;0,250294186867498;0,492432180696239;0,507567819303761;0,882174874839912;0,177552683665153;0,630573989987193;0,191873326347654
8118077;"08118077 Ingersheim";"Ingersheim";"Bietigheim-Bissingen";"6032";4407;3246;0,736555479918312;0,251246882793017;0,481929708222812;0,518070291777188;0,906001326259947;0,186505305039788;0,627652519893899;0,185842175066313
8118078;"08118078 Freiberg am Neckar, Stadt";"Freiberg am Neckar, Stadt";"Bietigheim-Bissingen";"15463";11492;8623;0,750348068221371;0,246166452066019;0,484511414343918;0,515488585656082;0,901700834249499;0,167367263790985;0,634546983120998;0,198085753088017
8118079;"08118079 Bietigheim-Bissingen, Stadt";"Bietigheim-Bissingen, Stadt";"Bietigheim-Bissingen";"41539";29024;20008;0,6893605292172;0,269606602197357;0,48564000096295;0,51435999903705;0,853920412142806;0,176508823033775;0,622403042923518;0,201088134042707
8118080;"08118080 Korntal-Münchingen, Stadt";"Korntal-Münchingen, Stadt";"Vaihingen";"18303";12747;9947;0,780340472267985;0,270322319075613;0,490028957001584;0,510025678850462;0,862754739660165;0,182374474129924;0,608479484237557;0,209200677484565
8118081;"08118081 Remseck am Neckar, Stadt";"Remseck am Neckar, Stadt";"Ludwigsburg";"23177";16189;11924;0,736549508925814;0,253180661577608;0,492470984165336;0,507485869612116;0,884281831125685;0,195797557923804;0,635198688354835;0,168960607498813
8119001;"08119001 Alfdorf";"Alfdorf";"Backnang";"7120";5386;3654;0,678425547716301;0,201773835920177;0,503370786516854;0,496488764044944;0,954073033707865;0,198033707865169;0,615730337078652;0,186095505617978
8119003;"08119003 Allmersbach im Tal";"Allmersbach im Tal";"Backnang";"4593";3555;2527;0,710829817158931;0,191082802547771;0,490529065969954;0,509470934030046;0,953189636403222;0,190507293707816;0,592640975397344;0,21685173089484
8119004;"08119004 Althütte";"Althütte";"Backnang";"4129";3146;2249;0,714876033057851;0,205035971223022;0,500121094696052;0,500121094696052;0,961976265439574;0,208525066602083;0,605957859045774;0,185759263744248
8119006;"08119006 Auenwald";"Auenwald";"Backnang";"6853";5359;3776;0,70460906885613;0,178177909164203;0,496862687873924;0,503137312126076;0,961476725521669;0,184152925725959;0,630964541076901;0,18488253319714
8119008;"08119008 Backnang, Stadt";"Backnang, Stadt";"Backnang";"34250";23715;15662;0,660425890786422;0,207838326446281;0,490978102189781;0,509021897810219;0,845197080291971;0,178102189781022;0,62;0,201897810218978
8119018;"08119018 Burgstetten";"Burgstetten";"Backnang";"3413";2530;1839;0,726877470355731;0,227297743533297;0,498681511866393;0,501025490770583;0,933196601230589;0,203926164664518;0,631702314679168;0,16407852329329
8119020;"08119020 Fellbach, Stadt";"Fellbach, Stadt";"Waiblingen";"43612";29115;21406;0,735222393955006;0,245631434778502;0,48014307988627;0,51985692011373;0,819866091901312;0,170801614234614;0,623429331376685;0,2057690543887
8119024;"08119024 Großerlach";"Großerlach";"Backnang";"2392";1956;1195;0,610940695296524;0,211195928753181;0,524665551839465;0,475334448160535;0,96571906354515;0,150501672240803;0,624581939799331;0,224916387959866
8119037;"08119037 Kaisersbach";"Kaisersbach";"Backnang";"2535";1959;1337;0,682491066870852;0,211363636363636;0,506903353057199;0,493096646942801;0,964497041420118;0,188954635108481;0,631952662721894;0,179092702169625
8119038;"08119038 Kirchberg an der Murr";"Kirchberg an der Murr";"Backnang";"3599";2625;1917;0,730285714285714;0,183835182250396;0,497082522923034;0,502917477076966;0,926368435676577;0,198944151153098;0,600166712975827;0,200889135871075
8119041;"08119041 Korb";"Korb";"Waiblingen";"9910";7376;5493;0,744712581344902;0,22122103714601;0,48678102926337;0,51321897073663;0,895257315842583;0,173965691220989;0,616246215943491;0,20978809283552
8119042;"08119042 Leutenbach";"Leutenbach";"Waiblingen";"10650";8127;5870;0,72228374553956;0,235385411277807;0,491737089201878;0,508356807511737;0,907323943661972;0,1781220657277;0,635774647887324;0,186197183098592
8119044;"08119044 Murrhardt, Stadt";"Murrhardt, Stadt";"Backnang";"13575";9997;6180;0,618185455636691;0,190327356473104;0,487513812154696;0,512486187845304;0,893038674033149;0,169871086556169;0,610534069981584;0,219594843462247
8119053;"08119053 Oppenweiler";"Oppenweiler";"Backnang";"4060";3070;2199;0,71628664495114;0,205761316872428;0,500738916256158;0,499261083743842;0,923399014778325;0,176108374384236;0,61871921182266;0,205172413793103
8119055;"08119055 Plüderhausen";"Plüderhausen";"Schorndorf";"9250";6707;4623;0,689279856865961;0,193922168780061;0,489297297297297;0,510702702702703;0,885621621621622;0,175135135135135;0,61427027027027;0,210594594594595
8119061;"08119061 Rudersberg";"Rudersberg";"Schorndorf";"11093";8462;5985;0,707279602930749;0,196591292608842;0,496980077526368;0,502929775534121;0,923465248354818;0,180293879022807;0,623456233660867;0,196159740376814
8119067;"08119067 Schorndorf, Stadt";"Schorndorf, Stadt";"Schorndorf";"38316";28219;19320;0,684645097274886;0,231087377624208;0,485175905626892;0,514824094373108;0,888375613320806;0,176349305773045;0,612746633260257;0,210904060966698
8119068;"08119068 Schwaikheim";"Schwaikheim";"Waiblingen";"9291";6453;4857;0,752673175267317;0,228132142115105;0,489505973522764;0,510494026477236;0,865138305887418;0,186847486815197;0,627596598859111;0,185555914325692
8119069;"08119069 Spiegelberg";"Spiegelberg";"Backnang";"2082";1629;1133;0,695518723143033;0,195515695067265;0,509606147934678;0,490393852065322;0,956292026897214;0,177233429394813;0,644092219020173;0,178674351585014
8119075;"08119075 Sulzbach an der Murr";"Sulzbach an der Murr";"Backnang";"5187";3735;2497;0,668540829986613;0,187423438138016;0,48582995951417;0,51417004048583;0,901870059764797;0,186427607480239;0,611336032388664;0,202236360131097
8119076;"08119076 Urbach";"Urbach";"Schorndorf";"8675";6236;4420;0,708787684413085;0,204628780934922;0,493025936599424;0,506974063400576;0,910893371757925;0,201844380403458;0,613602305475504;0,184553314121037
8119079;"08119079 Waiblingen, Stadt";"Waiblingen, Stadt";"Waiblingen";"51552";35383;24550;0,693836022948874;0,228153941140152;0,48566495965239;0,51433504034761;0,840859714463066;0,180051210428305;0,621896337678461;0,198052451893234
8119083;"08119083 Weissach im Tal";"Weissach im Tal";"Backnang";"7002";5459;3938;0,721377541674299;0,188946015424165;0,495858326192516;0,503998857469295;0,947872036560983;0,176378177663525;0,62067980576978;0,202799200228506
8119084;"08119084 Welzheim, Stadt";"Welzheim, Stadt";"Backnang";"11034";7824;5077;0,64890081799591;0,201435979258077;0,489487040058003;0,510512959941997;0,884810585463114;0,183070509334783;0,628149356534348;0,188780134130868
8119085;"08119085 Winnenden, Stadt";"Winnenden, Stadt";"Waiblingen";"27039";18461;12863;0,696766155679541;0,237938079522238;0,48744406228041;0,512592921335848;0,850993010096527;0,184104441732313;0,620622064425459;0,195310477458486
8119086;"08119086 Winterbach";"Winterbach";"Schorndorf";"7647";5749;4415;0,767959645155679;0,266590389016018;0,477965215117039;0,522034784882961;0,926245586504512;0,183470642081862;0,613573950568851;0,202955407349287
8119087;"08119087 Aspach";"Aspach";"Backnang";"8005";5939;4072;0,685637312678902;0,208405869186769;0,498188632104934;0,501936289818863;0,922923173016864;0,195003123048095;0,618863210493442;0,186258588382261
8119089;"08119089 Berglen";"Berglen";"Backnang";"5923";4669;3509;0,751552795031056;0,209174841315638;0,497214249535708;0,502785750464292;0,967077494512916;0,186560864426811;0,623670437278406;0,189768698294783
