"","Treatment 1","Treatment 2","Distance"
"1","08417047 Obernheim","08417045 Nusplingen",1.61
"2","08417014 Dautmergen","08417029 Hausen am Tann",1.67
"3","08417015 Dormettingen","08417071 Weilen unter den Rinnen",2.04
"4","08417078 Zimmern unter der Burg","08417052 Ratshausen",4.03
"5","08417016 Dotternhausen",NA,NA
