"","Treatment 1","Treatment 2","Distance"
"1","08336106 Häg-Ehrsberg","08336075 Schallbach",1
"2","08336096 Wieden","08336025 Fröhnd",1.17
"3","08336004 Aitern","08336024 Fischingen",1.6
"4","08336034 Hasel","08336073 Rümmingen",2.33
"5","08336094 Wembach","08336090 Utzenfeld",3.03
"6","08336010 Böllen","08336080 Schönenberg",3.52
"7","08336089 Tunau","08336100 Wittlingen",6.59
