"","Treatment 1","Treatment 2","Distance"
"1","08436024 Ebenweiler","08436093 Ebersbach-Musbach",1.45
"2","08436053 Königseggwald","08436047 Hoßkirch",1.85
"3","08436019 Boms","08436032 Fleischwangen",2.21
"4","08436067 Riedhausen","08436027 Eichstegen",2.61
"5","08436040 Guggenhausen","08436077 Unterwaldhausen",6.5
