"","Treatment 1","Treatment 2","Distance"
"1","08426043 Erlenmoos","08426125 Wain",1.17
"2","08426109 Seekirch","08426118 Tiefenbach",1.55
"3","08426064 Kanzach","08426078 Moosburg",2.01
"4","08426020 Betzenweiler","08426090 Oggelshausen",2.05
"5","08426011 Attenweiler","08426135 Gutenzell-Hürbel",2.13
"6","08426005 Alleshausen","08426006 Allmannsweiler",2.63
"7","08426036 Dürnau",NA,NA
