"","Treatment 1","Treatment 2","Distance"
"1","08136037 Kirchheim am Ries","08136003 Adelmannsfelden",0.74
"2","08136018 Ellenberg","08136068 Stödtlen",1.24
"3","08136071 Tannhausen","08136084 Wört",2.49
