"","Treatment 1","Treatment 2","Distance"
"1","08337108 Todtmoos","08315037 Feldberg (Schwarzwald)",1.07
"2","08337027 Dachsberg (Südschwarzwald)","08315016 Breitnau",1.61
"3","08337127 Wutach","08315094 St. Märgen",2.37
"4","08337013 Bernau im Schwarzwald","08337045 Häusern",2.45
"5","08337059 Ibach","08315051 Heuweiler",3.94
